# naive_pinyin dict v1
# sources: rime-ice(8105/base/ext/others)
a	啊:853,阿:753,吖:660,锕:274,腌:38
shou cuo de	受挫的:481
shou da	手大:476
shou da ji	受打击:493
shou dai	手袋:440,绶带:360
shou dan	首单:484,寿诞:349
shou dang	手挡:459,首档:418,收当:382
shou dang jiao yu duo nian	受党教育多年:540
shou dang qi chong	首当其冲:474
shou dao	收到:665,受到:664,手刀:459,瘦到:438,守到:418
shou dao cheng fa	受到惩罚:524
shou dao chong ji	受到冲击:318
shou dao gan ran	受到感染:312
shou dao hao ping	受到好评:296
shou dao hou	收到后:782
shou dao huan ying	受到欢迎:530
shou dao huo	收到货:484
shou dao huo le	收到货了:484
shou dao lai xin	收到来信:484
shou dao le	受到了:736,收到了:689
shou dao po huai	受到破坏:322
shou dao qian	收到钱:498
shou dao qin lai	手到擒来:400
shou dao sun shi	受到损失:546
shou dao wei xie	受到威胁:564
shou dao xian zhi	受到限制:350
shou dao ying xiang	受到影响:649
shou dao you guan	收到有关:487
shou dao you jian	收到邮件:505
shou dao zhong shi	受到重视:337
shou dao zun zhong	受到尊重:514
shou de	手的:590,瘦得:582,瘦的:567,收的:490,熟的:484,守的:397,熟得:292
shou de le	受的了:500
shou de liao	受得了:426
shou de qi	受得起:549
shou di	收低:536,守敌:386,受敌:382
shou dian	手电:466,受点:307,收点:283
shou dian tong	手电筒:520
shou diao	收掉:254
shou die	收跌:418
shou ding	售定:509,手定:379,收订:280
shou dong	手动:566,受冻:382,受动:275
shou dong bian su xiang	手动变速箱:608
shou dong cao zuo	手动操作:531
shou dong dang	手动挡:332
shou dong dui jiao	手动对焦:513
shou dong gong neng	手动功能:540
shou dong hao hua	手动豪华:541
shou dong kong tiao	手动空调:499
shou dong kong zhi	手动控制:501
shou dong lun yi	手动轮椅:484
shou dong mo shi	手动模式:496
shou dong shu ru	手动输入:491
shou dou	手抖:516
shou du	首都:674,首度:489,熟度:378,熟读:356
shou du bei jing	首都北京:320
shou du guo ji ji chang	首都国际机场:396
shou du ji chang	首都机场:468
shou du jing ji	首都经济:520
shou du jing ji mao yi da xue	首都经济贸易大学:519
shou du shi fan da xue	首都师范大学:400
shou du yi ke da xue	首都医科大学:382
shou duan	手段:714,手短:486,首段:348
shou duan xiao xi	收短消息:540
shou dui	收队:278
shou duo	首夺:243
shou e	首恶:338
shou er	首尔:353,手儿:290
shou fa	手法:648,守法:636,首发:556,收发:513,受罚:469
shou fa de	守法的:531
shou fa dian zi you jian	收发电子邮件:539
shou fa duan xin	收发短信:486
shou fa huo	收发货:532
shou fa lv	受法律:494
shou fa lv bao hu	受法律保护:616
shou fa qi	收发器:331
shou fa shi	首发式:400,收发室:350
shou fa you jian	收发邮件:573
shou fa zhen rong	首发阵容:533
shou fan	手翻:432,售饭:428,首犯:324,收帆:262,熟饭:244
shou fang	收房:564,售房:424,受访:392,首访:391,收放:312,收方:299
shou fang kai	手放开:479
shou fang zhe	受访者:515
shou fang zi ru	收放自如:308
shou fei	收费:678,首飞:313
shou fei ban fa	收费办法:552
shou fei biao zhun	收费标准:750
shou fei chu	收费处:287
shou fei dian shi	收费电视:479
shou fei fang shi	收费方式:586
shou fei fu wu	收费服务:551
shou fei gong lu	收费公路:345
shou fei guan li	收费管理:606
shou fei hui yuan	收费会员:589
shou fei mo shi	收费模式:518
shou fei piao ju	收费票据:509
shou fei qing kuang	收费情况:543
shou fei quan	收费权:304
shou fei wen ti	收费问题:521
shou fei xi tong	收费系统:552
shou fei xiang mu	收费项目:656
shou fei xing wei	收费行为:565
shou fei yi ju	收费依据:586
shou fei you xiang	收费邮箱:481
shou fei yuan	收费员:298
shou fei zhan	收费站:437
shou fei zheng ce	收费政策:534
shou fei zhi du	收费制度:540
shou fen	授粉:437,收分:405,首份:348,守分:270
shou feng	受封:525,受风:486
shou feng qin	手风琴:407
shou fu	收复:520,首府:504,首富:425,首付:416,收服:412,手扶:377,收腹:365
shou fu kuan	收付款:480,首付款:394
shou fu le	收复了:491
shou fu shi di	收复失地:299
shou fu tai wan	收复台湾:500
shou fu ti	手扶梯:549
shou gan	手感:508,收竿:378
shou gan hao	手感好:508
shou gan shu shi	手感舒适:519
shou gang	首钢:428
shou gao	手稿:501,瘦高:421,收稿:270
shou ge	首个:532,收割:494,首歌:478,收个:439
shou ge ji	收割机:438
shou ge zhong	受各种:499
shou gei	售给:350,授给:304
shou gong	手工:610,收工:422,首功:265
shou gong bian zhi	手工编织:499
shou gong cao zuo	手工操作:328
shou gong ji	受攻击:490
shou gong ye	手工业:572
shou gong ye zhe	手工业者:454
shou gong yi	手工艺:445
shou gong yi pin	手工艺品:470
shou gong zhi zuo	手工制作:574
shou gong zuo fang	手工作坊:507
shou gou	收购:712,手钩:306,受够:266
shou gou an	收购案:322
shou gou gong zuo	收购工作:492
shou gou jia	收购价:419
shou gou jia ge	收购价格:359
shou gou jian bing	收购兼并:580
shou gou le	收购了:629,受够了:302
shou gou liang	收购量:312
shou gou ren	收购人:435
shou gou xie yi	收购协议:492
shou gou zhan	收购站:331
shou gou zhe	收购者:323
shou gou zi jin	收购资金:504
shou gu	受雇:412,兽骨:379,手鼓:342
shou gu ren	受雇人:507
shou gu yu	受雇于:507
shou gua	守寡:415
shou guan	守关:460,首冠:418,收官:370
shou guang	寿光:390
shou guang shi	寿光市:311
shou gui	收归:426
shou gui ju	守规矩:294
shou guo	受过:582,收过:304
shou guo ji	受国际:540
shou guo jia	受国家:590
shou guo jiao yu	受过教育:504
shou guo nei	受国内:480
shou guo shang	受过伤:302
shou hai	受害:514
shou hai ren	受害人:470
shou hai zhe	受害者:542
shou han	手汗:418,受寒:380,受旱:314
shou hang	首行:286
shou hao	守好:456,收好:332
shou hao ping de	受好评的:512
shou he	寿盒:418
shou he tong	守合同:537
shou hei	手黑:401
shou heng	守恒:462
shou hong	收红:418
shou hou	守候:510,售后:472,瘦猴:466
shou hou er	瘦猴儿:549
shou hou fu wu	售后服务:568
shou hou wei xiu	售后维修:517
shou hou zhe	守候着:489
shou hu	守护:569
shou hu jin cheng	守护进程:567
shou hu ni	守护你:484
shou hu shen	守护神:452
shou hu tian shi	守护天使:538
shou hu xian cheng	守护线程:487
shou hu zhe	守护着:566,守护者:404
shou hua	手滑:546,手画:453,收花:418
shou huan	手环:310
shou huan ying	受欢迎:372
shou huan ying de	受欢迎的:613
shou huan ying du	受欢迎度:523
shou hui	收回:638,受贿:544,受惠:450,手绘:424,收汇:353
shou hui an	受贿案:342
shou hui cheng ben	收回成本:535
shou hui he	首回合:304
shou hui lai	收回来:524
shou hui le	收回了:561
shou hui tou zi	收回投资:560
shou hui zui	受贿罪:410
shou huo	收获:640,售货:412,收货:386
shou huo di	收货地:539
shou huo er	收活儿:549
shou huo ji jie	收获季节:497
shou huo qi	收获期:336
shou huo ren	收货人:387
shou huo yuan	售货员:460
shou ji	手机:701,收集:660,首级:492,手记:462,手迹:422,熟记:414,首季:388,守纪:317
shou ji ban	手机版:518
shou ji bao	手机报:512
shou ji bing du	手机病毒:523
shou ji cai ling	手机彩铃:504
shou ji cai xin	手机彩信:506
shou ji chan pin	手机产品:564
shou ji chang shang	手机厂商:590
shou ji chong dian	手机充电:499
shou ji da quan	手机大全:525
shou ji dai	手机袋:297
shou ji dai ji	手机待机:492
shou ji dao	收集到:574
shou ji dian chi	手机电池:337
shou ji dian shi	手机电视:613
shou ji dian ying	手机电影:576
shou ji duan	手机端:519
shou ji duan xin	手机短信:412
shou ji duan xin xi	手机短信息:583
shou ji fei	手机费:362
shou ji fu she	手机辐射:503
shou ji guan ji	手机关机:484
shou ji hang qing	手机行情:513
shou ji hao	手机号:474
shou ji hao ma	手机号码:394
shou ji hua fei	手机话费:487
shou ji jia ge	手机价格:507
shou ji lai dian	手机来电:484
shou ji le	收集了:635
shou ji li	手机里:574
shou ji lian	手机链:316
shou ji ling sheng	手机铃声:658
shou ji lv	守纪律:306
shou ji pai zhao	手机拍照:501
shou ji pei jian	手机配件:326
shou ji pin pai	手机品牌:616
shou ji ping mu	手机屏幕:537
shou ji qi	收集器:358
shou ji shang wang	手机上网:580
shou ji shi chang	手机市场:623
shou ji shi pin	手机视频:544
shou ji tu pian	手机图片:576
shou ji wang luo	手机网络:523
shou ji wei xiu	手机维修:551
shou ji xiang le	手机响了:556
shou ji xiao shou	手机销售:538
shou ji xin hao	手机信号:316
shou ji xin xi	收集信息:560
shou ji yin hang	手机银行:528
shou ji ying yong	手机应用:482
shou ji yong hu	手机用户:372
shou ji you xi	手机游戏:473
shou ji zheng ju	收集证据:576
shou ji zheng li	收集整理:376
shou ji zhi fu	手机支付:505
shou ji zhi jia	手机支架:538
shou ji zhi shi	手机制式:572
shou ji zhi zao shang	手机制造商:519
shou ji zhong	手机中:583
shou ji zhong duan	手机终端:540
shou ji zi fei	手机资费:489
shou ji zi liao	收集资料:563,手机资料:485
shou jia	售价:597,首家:537,守家:534,首架:398,售假:358,手夹:244
shou jia wei	售价为:623
shou jian	手贱:597,收件:367,收监:357,受检:280
shou jian ren	收件人:412
shou jian xiang	收件箱:338
shou jiang	守将:524,授奖:408,受奖:370,首奖:264
shou jiao	手脚:590,收缴:455,受教:322
shou jiao bing yong	手脚并用:488
shou jiao yu	受教育:666
shou jiao yu cheng du	受教育程度:556
shou jiao yu quan	受教育权:517
shou jiao yu zhe	受教育者:436
shou jie	首届:598,受戒:399,守节:378,守戒:265
shou jin	收紧:484,受尽:464,手巾:441,手劲:396,手紧:364,收进:322
shou jin le	受尽了:495
shou jing	受精:483,受惊:444,授精:340
shou jing de	受惊的:493
shou jing ji	受经济:515
shou jing luan	受精卵:470
shou jiong	受窘:266
shou jiu	守旧:452,寿酒:245
shou jiu de	守旧的:481
shou ju	手举:597,收据:514,首句:407,首局:388,手锯:250
shou juan	手绢:470,手卷:360
shou jun	守军:516
shou kan	收看:524
shou kan dian shi	收看电视:526
shou kao	手铐:476,寿考:290
shou ke	授课:571,熟客:358,首颗:302
shou ken	首肯:409
shou kong	受控:464,手控:336
shou kong fang	守空房:365
shou kou	手口:524,收口:316
shou kou ru ping	守口如瓶:414
shou ku	受苦:510
shou ku shou nan	受苦受难:294
shou kuai	手快:382
shou kuan	收款:489,首款:456
shou kuan ji	收款机:352
shou kuan ping zheng	收款凭证:494
shou kuan ren	收款人:458
shou kun	受困:395
shou la	手辣:412,手拉:342
shou la hu lu	手拉葫芦:498
shou la shou	手拉手:454
shou lai	收来:298
shou lan	收揽:328
shou le	受了:550,收了:529,瘦了:470,熟了:468
shou le shang	受了伤:336
shou le wei qu	受了委屈:495
shou lei	受累:458,兽类:454,手雷:410,守擂:242
shou leng	受冷:309
shou li	手里:690,受理:650,受力:486,首例:470,寿礼:373,收礼:366,受礼:328
shou li an jian	受理案件:524
shou li bu men	受理部门:539
shou li dan wei	受理单位:512
shou li de	手里的:534
shou li fei	受理费:390
shou li hou	受理后:571
shou li le	受理了:529
shou li po chan shen qing	受理破产申请:516
shou li ren	受理人:481
shou li ri qi	受理日期:480
shou li tong zhi shu	受理通知书:568
shou lian	收敛:559,瘦脸:552,熟练:511,首联:448,手链:411,收殓:338,寿联:247
shou lian de	收敛的:489
shou liang	受凉:406,售粮:294
shou liao	手疗:418
shou lie	狩猎:559,首列:284
shou lie chang	狩猎场:355
shou lin	手拎:462,守林:253
shou ling	首领:610,受领:405,守灵:364,手令:275
shou liu	收留:497,瘦溜:260
shou liu dan	手榴弹:514
shou long	收拢:438
shou lou	售楼:482
shou lou bu	售楼部:316
shou lou chu	售楼处:350
shou lou yuan	售楼员:314
shou lu	收录:576,手炉:330
shou lu ji	收录机:385
shou lu le	收录了:636
shou lu yu	收录于:296
shou lun	首轮:510,手轮:327
shou luo	收罗:420,熟络:280
shou lv	收绿:418
shou lv gu fen	首旅股份:372
shou ma	手麻:413,瘦马:311
shou mai	收买:510,售卖:450,收埋:246
shou man	手慢:270
shou mang jiao luan	手忙脚乱:512
shou mei	首枚:328
shou mei guo	受美国:510
shou men	守门:460
shou men ren	守门人:343
shou men yuan	守门员:484
shou mi	守密:240
shou mian	兽面:346,首面:270
shou ming	寿命:620,受命:568,授命:318,首名:280
shou ming chang	寿命长:368
shou ming duan	寿命短:304
shou mo	手摸:342,手模:274
shou mu	守墓:549
shou na	手拿:629,收纳:454
shou na bao	手拿包:484
shou na zhe	手拿着:296
shou nan	受难:456
shou nao	首脑:562
shou nao hui yi	首脑会议:338
shou ni	受你:498
shou nian	首年:350
shou niu	瘦牛:439
shou nv	熟女:321
shou nve	受虐:318
shou pa	手帕:542
shou pai	手牌:549,授牌:316
shou pan	收盘:530,首盘:368
shou pan jia	收盘价:472
shou pan jia ge	收盘价格:308
shou pan yu	收盘于:486
shou peng	手捧:588
shou pi	首批:608,兽皮:436
shou pian	受骗:498,首篇:270
shou pian le	受骗了:494
shou pian shang dang	受骗上当:326
shou piao	售票:512,收票:274
shou piao chu	售票处:446
shou piao chuang kou	售票窗口:514
shou piao dian	售票点:340
shou piao yuan	售票员:448
shou pin	受聘:492
shou po	首破:441
shou qi	受其:610,收起:520,首期:488,手起:478,受气:406,手气:402,收讫:320,收齐:318,首起:296,授旗:280
shou qi bao er	受气包儿:549
shou qi de san	收起的伞:484
shou qi lai	收起来:543
shou qi ying xiang	受其影响:531
shou qian	售前:372,收钱:358
shou qian shou	手牵手:334
shou qian zhe	手牵着:302
shou qiang	手枪:564
shou qiao	手巧:312
shou qie	手切:384
shou qin	手勤:274
shou qing	手轻:380,售罄:328
shou qiong	受穷:346
shou qiu	手球:427,首球:386
shou qu	收取:641,收去:286,受屈:262
shou qu yi zhi	首屈一指:466
shou quan	授权:680,受权:358
shou quan dai biao	授权代表:325
shou quan dai li	授权代理:504
shou quan fan wei	授权范围:514
shou quan fang shi	授权方式:782
shou quan gei	授权给:532
shou quan jing ying	授权经营:555
shou quan ren	授权人:368
shou quan shu	授权书:401
shou quan wei tuo shu	授权委托书:683
shou quan wen jian	授权文件:522
shou quan xia	授权下:529
shou qun	兽群:264
shou rang	受让:480,授让:418
shou rang fang	受让方:436
shou rang ren	受让人:396
shou re	受热:510
shou ren	受人:648,熟人:556,授人:549,瘦人:482,首任:476,兽人:362,收人:335,守仁:306,手刃:287
shou ren zun jing	受人尊敬:539
shou ri	首日:464
shou rong	收容:484
shou rong qian song	收容遣送:303
shou rong suo	收容所:360
shou rou	瘦肉:462,熟肉:362
shou rou jing	瘦肉精:462
shou rou xing	瘦肉型:355
shou rou xing zhu	瘦肉型猪:481
shou ru	收入:729,受辱:455,授乳:266
shou ru cha ju	收入差距:612
shou ru da	收入达:597
shou ru di	收入低:511
shou ru e	收入额:346
shou ru fen pei	收入分配:654
shou ru jie gou	收入结构:486
shou ru lai yuan	收入来源:595
shou ru qing kuang	收入情况:547
shou ru shui ping	收入水平:364
shou ru zeng zhang	收入增长:594
shou ru zhe	收入者:372
shou ru zheng ming	收入证明:529
shou ru zhuang kuang	收入状况:523
shou ru zong e	收入总额:540
shou ruan	手软:457
shou ruo	瘦弱:472
shou ruo de	瘦弱的:562
shou sang	守丧:269
shou sha	手刹:329
shou shan	守山:484
shou shan shi	寿山石:350
shou shan zhi qu	首善之区:300
shou shang	受伤:653,手上:643,受赏:311
shou shang de	受伤的:660
shou shang de xin	受伤的心:484
shou shang hai	受伤害:334
shou shang hai de	受伤害的:490
shou shang le	受伤了:570
shou shang zhe	受伤者:347
shou shen	受审:432,瘦身:392,收审:341,守身:256
shou shen fa	瘦身法:292
shou sheng	首胜:514,收声:269,手生:257
shou shi	收拾:634,守尸:629,首饰:591,手势:573,收市:456,收尸:448,熟食:430,守势:408,守时:388,收视:377,授时:367
shou shi da	首师大:328
shou shi de	收拾得:520
shou shi dong xi	收拾东西:559
shou shi fei	收视费:294
shou shi gao	熟石膏:301
shou shi hao	收拾好:572
shou shi he	首饰盒:388
shou shi hui	熟石灰:313
shou shi jia	收市价:354
shou shi lv	收视率:464
shou shi ni	收拾你:511
shou shi shou shi	收拾收拾:485
shou shi xing li	收拾行李:525
shou shi yi xia	收拾一下:510
shou shou	收手:544,收受:451,瘦瘦:301,授首:298,收收:285,受受:260,手熟:238
shou shou de	瘦瘦的:412
shou shou hui lu	收受贿赂:338
shou shu	手术:687,手书:471,收束:370,售书:356,寿数:311,手熟:238
shou shu dao	手术刀:386
shou shu fei	手术费:380
shou shu fei yong	手术费用:496
shou shu hou	手术后:634
shou shu qi xie	手术器械:305
shou shu qian	手术前:551
shou shu shi	手术室:476
shou shu tai	手术台:400
shou shu tai shang	手术台上:292
shou shu zhe	手术者:501
shou shu zhi liao	手术治疗:627
shou shui	收税:424
shou si	受死:508,手撕:422,瘦死:388,寿司:380
shou si ri li	手撕日历:484
shou song	手松:275
shou su	手速:549
shou sui	守岁:362
shou sun	受损:564
shou sun hai	受损害:298
shou sun hai de	受损害的:525
shou sun shi	受损失:539
shou suo	收缩:607
shou suo ji	收缩机:300
shou suo lv	收缩率:341
shou suo mao kong	收缩毛孔:526
shou suo qi	收缩期:360
shou suo ya	收缩压:388
shou ta	受他:566,守塔:549
shou tai	首台:367,受胎:296
shou tan	收摊:415,手谈:323,手弹:254
shou tang	手烫:501,首趟:308,寿堂:296
shou tao	手套:548,寿桃:364,首套:330
shou teng	手疼:400
shou ti	受体:540,手提:508
shou ti bao	手提包:414
shou ti dai	手提袋:396
shou ti dian hua	手提电话:525
shou ti dian nao	手提电脑:338
shou ti shi	手提式:381
shou ti xiang	手提箱:347
shou tiao	首条:372,收条:357
shou tie	手贴:514,熟铁:342
shou ting	收听:506
shou ting shou kan	收听收看:499
shou tou	手头:524,熟透:422
shou tou shang	手头上:302
shou tou zi	手头字:325
shou tu	收徒:392,守土:382,授徒:378
shou tu you ze	守土有责:354
shou tui	瘦腿:490,收腿:437,手推:385,首推:350
shou tui che	手推车:403
shou tuo	手托:534,受托:472,收妥:275
shou tuo fang	受托方:536
shou tuo ren	受托人:372
shou wan	手腕:600,手挽:523,售完:408,收完:292
shou wan shang	手腕上:535
shou wan shou	手挽手:290
shou wan wei zhi	售完为止:483
shou wang	守望:462,兽王:338,收网:329
shou wang xian feng	守望先锋:549
shou wang xian feng er	守望先锋二:549
shou wang xiang zhu	守望相助:286
shou wang zhe	守望着:487,守望者:416
shou wei	首位:594,守卫:559,手尾:499,收尾:482,首尾:470,收味:398
shou wei qu	受委屈:304
shou wei tuo de	受委托的:549
shou wei tuo ren	受委托人:296
shou wen	首问:533,收文:340,手纹:262
shou wen fu ze zhi	首问负责制:517
shou wen ze ren zhi	首问责任制:514
shou wen zhi	首问制:549
shou wo	受我:540,手握:367
shou wu	首乌:383
shou wu cun tie	手无寸铁:439
shou wu zu dao	手舞足蹈:463
shou xi	熟悉:684,首席:620,手洗:540,受洗:372,收悉:330
shou xi cai wu guan	首席财务官:517
shou xi dai biao	首席代表:346
shou xi hu	瘦西湖:374
shou xi ji zhe	首席记者:303
shou xi ke xue jia	首席科学家:547
shou xi li	受洗礼:485
shou xi lv shi	首席律师:503
shou xi yun ying guan	首席运营官:578
shou xi zhi xing guan	首席执行官:695
shou xi zhuan jia	首席专家:321
shou xia	手下:620,收下:515
shou xia lai	瘦下来:298
shou xia liu qing	手下留情:436
shou xia ren	手下人:454
shou xian	首先:724,受限:473,寿险:438,授衔:315,收线:302,寿限:300
shou xian ba	首先把:564
shou xian kan	首先看:548
shou xian yao	首先要:738
shou xian ye	寿险业:294
shou xian ying	首先应:625
shou xian yu	受限于:311
shou xian zai	首先在:651
shou xian zhi	受限制:325
shou xian zhi de	受限制的:513
shou xiang	首相:574,受降:432,手相:409,收降:403,首项:316
shou xiang xing shi	受想行识:507
shou xiao	瘦小:482,收效:458,守孝:354
shou xiao bu da	收效不大:479
shou xiao shen wei	收效甚微:410
shou xie	手写:472
shou xie ban	手写板:298
shou xie bi	手写笔:318
shou xie shu ru	手写输入:340
shou xin	手心:522,守信:468,守心:401,收心:346,收信:342,授信:332,手信:260
shou xin e du	授信额度:320
shou xin er	手心儿:314
shou xin ren	受信任:502,收信人:397
shou xin yong	守信用:425
shou xing	手型:498,受刑:466,寿星:445,兽性:416,兽行:304,手性:302
shou xing lao er	寿星老儿:549
shou xiu	首秀:484,手绣:279
shou xu	手续:662
shou xu fei	手续费:552
shou xu hou	手续后:492
shou xu qi quan	手续齐全:630
shou xuan	首选:585
shou xuan xiang	首选项:302
shou xue	瘦削:457
shou xue de	瘦削的:513
shou xun	受训:457,授勋:302
shou xun zhe	受训者:313
shou ya	受压:457,收押:300
shou yan	首演:470,寿宴:370,手眼:345
shou yang	收养:519,收阳:418,手痒:369
shou yang fa	收养法:296
shou yang guan xi	收养关系:553
shou yang ren	收养人:356
shou yang zi nv	收养子女:504
shou yao	首要:525,瘦腰:525,手摇:436,受邀:428,收腰:418
shou yao fen zi	首要分子:315
shou yao kao lv	首要考虑:504
shou yao ren wu	首要任务:359
shou yao tiao jian	首要条件:325
shou yao wei zhi	首要位置:519
shou yao wen ti	首要问题:553
shou ye	首页:682,守夜:421,授业:378,守业:347
shou ye ren	守夜人:326
shou yi	收益:663,受益:585,手艺:546,兽医:520,守一:520,授意:468,首义:384,寿衣:378,兽疫:372,授艺:330,授以:306
shou yi fei qian	受益匪浅:445
shou yi fen pei	收益分配:356
shou yi fen xi	收益分析:481
shou yi ge	收一个:491
shou yi ju	兽医局:306
shou yi lv	收益率:527
shou yi quan	受益权:342,收益权:340
shou yi ren	受益人:452
shou yi wu qiong	受益无穷:479
shou yi xing	收益性:508
shou yi xue	兽医学:388
shou yi yang	手一扬:493
shou yi yu	受益于:557
shou yi zeng	受遗赠:487
shou yi zeng ren	受遗赠人:492
shou yi zhan	兽医站:370
shou yi zhe	受益者:466
shou yin	手印:465,收银:427,手淫:336
shou yin ji	收音机:542,收银机:282
shou yin tai	收银台:346
shou yin yuan	收银员:404
shou ying	首映:422
shou ying li	首映礼:296
shou ying shi	首映式:356
shou ying xiang	受影响:615
shou ying xiang de	受影响的:555
shou yong	受用:502,收用:254
shou you	手游:471,收油:275
shou yu	授予:676,授于:497,收于:494,手语:420,手谕:392,兽欲:336
shou yu quan	授予权:411
shou yu rong yu	授予荣誉:525
shou yu xue wei	授予学位:548
shou yu zhuan li quan	授予专利权:540
shou yuan	受冤:412,受援:314
shou yue	守约:344,首月:292,收阅:249
shou yun	受孕:490
shou zai	守在:630,受灾:506,收载:370,收在:324
shou zai di qu	受灾地区:298
shou zai mian ji	受灾面积:290
shou ze	守则:500
shou zeng	受赠:397
shou zeng ren	受赠人:319
shou zha	手札:342,手闸:242
shou zhai	收窄:418,收债:270
shou zhan	首战:410,首站:402
shou zhang	手掌:608,首长:568,收涨:459,手杖:444,手账:418,首张:413,收账:298
shou zhang chao shang	手掌朝上:484
shou zhang chao xia	手掌朝下:484
shou zhang shang	手掌上:477
shou zhang wu lian	手掌捂脸:484
shou zhang xin	手掌心:400
shou zhang xin er	手掌心儿:549
shou zhang zhuan ji	首张专辑:558
shou zhao	手诏:549
shou zhe	守着:641,受着:589,收着:485
shou zhen	守贞:268
shou zheng	守正:469
shou zhi	手指:662,收支:582,受之:569,熟知:530,收汁:484,收治:433,受制:416,手纸:395,首支:380,授职:377,首只:348,手执:346,收执:312,手植:278,守制:256,守职:238
shou zhi guan li	收支管理:510
shou zhi jia	手指甲:373
shou zhi jiao cha	手指交叉:484
shou zhi nie he	手指捏合:484
shou zhi ping heng	收支平衡:434
shou zhi tou	手指头:493
shou zhi tou du er	手指头肚儿:549
shou zhi yu	受制于:470
shou zhi yu ren	受制于人:390
shou zhi zhang kai	手指张开:484
shou zhi zhe	手指着:495
shou zhong	手中:713,受众:476,寿终:283,手重:259
shou zhong guo	受中国:562
shou zhong shang	受重伤:514
shou zhong shi	受重视:523
shou zhong zheng qin	寿终正寝:380
shou zhou	首周:484,手肘:464
shou zhu	受主:464,收住:429,受助:413,守住:360
shou zhu dai tu	守株待兔:394
shou zhu rou	瘦猪肉:305
shou zhua	手抓:640
shou zhuan	收转:256
shou zhuo	手镯:482,守拙:325
shou zi	瘦子:470,寿字:462,首字:352
shou zi mu	首字母:346
shou zong	首宗:268
shou zou	收走:368
shou zu	手足:566,兽族:536,受阻:516,收租:310
shou zu chu nuo	手足搐搦:549
shou zu kou bing	手足口病:483
shou zu wu cuo	手足无措:492
shou zui	受罪:469
shou zun	首尊:249
shou zuo	首座:518,首作:418
shu	书:765,数:761,术:731,树:720,属:710,熟:708,叔:696,束:690,舒:686,输:666,述:662,殊:640,鼠:624,疏:606,淑:600,竖:600,署:591,墅:583,梳:583,蜀:574,恕:569,倏:565,暑:558,庶:533,漱:532,赎:531,姝:531,枢:522,蔬:517,薯:509,曙:506,抒:502
shu an	书案:407,熟谙:393
shu ba tan	舒巴坦:282
shu bai	数百:570,叔伯:413
shu bai ge	数百个:429
shu bai ming	数百名:474
shu bai nian	数百年:495
shu bai ren	数百人:333
shu bai wan	数百万:476
shu bai wei	数百位:340
shu bai yi	数百亿:329
shu bai yuan	数百元:364
shu ban	竖版:418
shu bao	书包:520,书报:416
shu bao kan	书报刊:350
shu bao li	书包里:505
shu bao ting	书报亭:300
shu bei	数倍:490,鼠辈:385,数杯:350,书背:300,树碑:254
shu ben	书本:564,树本:410,数本:298
shu ben fei	书本费:350
shu ben hua	叔本华:316
shu ben shang	书本上:315
shu ben zhi shi	书本知识:320
shu bi	数笔:302,梳篦:288
shu bian	数遍:379,戍边:348
shu bian dian	输变电:430
shu biao	鼠标:585,数表:260
shu biao cao zuo	鼠标操作:557
shu biao dian	鼠标垫:336
shu biao dian ji	鼠标点击:570
shu biao jian	鼠标键:318
shu biao jian pan	鼠标键盘:516
shu biao shi jian	鼠标事件:490
shu biao shou	鼠标手:549
shu biao yi dong	鼠标移动:522
shu biao you jian	鼠标右键:651
shu biao zhi zhen	鼠标指针:557
shu biao zuo jian	鼠标左键:609
shu bo	叔伯:453
shu bo te	舒伯特:400
shu bu	恕不:634,数步:462
shu bu jin de	数不尽的:506
shu bu qi	输不起:309
shu bu qing	数不清:319
shu bu qing de	数不清的:588
shu bu sheng shu	数不胜数:448
shu bu tui huan	恕不退还:299
shu bu zhi	殊不知:512
shu cai	蔬菜:670,熟菜:307
shu cai da peng	蔬菜大棚:503
shu cai ji di	蔬菜基地:322
shu cai lei	蔬菜类:324
shu cai sha la	蔬菜沙拉:484
shu cai sheng chan	蔬菜生产:577
shu cai shui guo	蔬菜水果:338
shu cai tang	蔬菜汤:320
shu cai zhi	蔬菜汁:348
shu cai zhong zhi	蔬菜种植:548
shu ce	书册:333
shu cha	熟茶:484,树杈:397
shu chang	舒畅:526,数场:338
shu che	赎车:418
shu cheng	书城:520,熟成:378,梳成:283
shu cheng xian	舒城县:314
shu chi	数尺:446,梳齿:294,书痴:256
shu chong	书虫:333
shu chu	输出:674,赎出:421,数出:376,书橱:376,庶出:336
shu chu dian liu	输出电流:549
shu chu dian ya	输出电压:613
shu chu duan	输出端:558
shu chu duan kou	输出端口:514
shu chu duan zi	输出端子:510
shu chu fang shi	输出方式:513
shu chu ge shi	输出格式:520
shu chu gong lv	输出功率:361
shu chu gong neng	输出功能:518
shu chu guo	输出国:398
shu chu jie guo	输出结果:533
shu chu jie kou	输出接口:568
shu chu liang	输出量:312
shu chu liu	输出流:604
shu chu pin lv	输出频率:514
shu chu she bei	输出设备:317
shu chu shu ju	输出数据:496
shu chu wen jian	输出文件:503
shu chu xi tong	输出系统:483
shu chu xin hao	输出信号:564
shu chu xin xi	输出信息:478
shu chu zu kang	输出阻抗:300
shu ci	数次:567,数词:347
shu cong	树丛:492
shu cuan	鼠窜:294
shu cun	数寸:411
shu cuo	数错:250
shu da zhao feng	树大招风:372
shu dai	束带:360,书袋:248
shu dai zi	书呆子:454
shu dai zi lian	书呆子脸:484
